sender,receiver,n_txns,total_amount,mean_amount,max_amount,n_laundering_txns,is_laundering_edge,lifespan_days,first_time,last_time
ACC000951,ACC001254,22,28353.22,1288.78,4600.91,0,0,28.545,2025-01-01 00:00:50,2025-01-29 13:05:55
ACC000714,ACC000042,10,4553625.22,455362.52,1167000.0,0,0,26.51,2025-01-01 00:11:51,2025-01-27 12:25:34
ACC000317,ACC001328,7,536891.8,76698.83,77314.13,0,0,29.991,2025-01-01 00:12:44,2025-01-30 23:59:59
ACC001171,ACC001276,15,377441.65,25162.78,119000.0,0,0,23.371,2025-01-01 00:14:51,2025-01-24 09:09:19
ACC000913,ACC000637,3,44361.39,14787.13,23400.0,0,0,23.417,2025-01-01 00:17:34,2025-01-24 10:18:00
ACC000611,ACC000686,2,5864462.3,2932231.15,5722953.87,0,0,29.686,2025-01-01 00:21:13,2025-01-30 16:49:11
ACC000025,ACC000648,4,724049.51,181012.38,183000.0,0,0,25.004,2025-01-01 00:23:29,2025-01-26 00:29:53
ACC001188,ACC000293,7,724825.62,103546.52,105000.0,0,0,29.98,2025-01-01 00:28:14,2025-01-30 23:59:59
ACC000686,ACC001155,18,94326.66,5240.37,21800.0,0,0,29.46,2025-01-01 00:33:20,2025-01-30 11:36:12
ACC000707,ACC001009,1,5540.25,5540.25,5540.25,0,0,0.0,2025-01-01 00:34:15,2025-01-01 00:34:15
ACC000775,ACC000156,7,75060.14,10722.88,42200.0,0,0,21.359,2025-01-01 00:35:14,2025-01-22 09:11:30
ACC000472,ACC000268,9,1836450.76,204050.08,208000.0,0,0,29.967,2025-01-01 00:47:03,2025-01-30 23:59:59
ACC000524,ACC000789,9,1167724.39,129747.15,131719.8,0,0,29.966,2025-01-01 00:49:16,2025-01-30 23:59:59
ACC001035,ACC001155,3,7014.43,2338.14,3994.01,0,0,26.793,2025-01-01 00:54:37,2025-01-27 19:55:51
ACC000082,ACC000796,27,24565590.53,909836.69,8160495.07,0,0,29.68,2025-01-01 01:00:03,2025-01-30 17:19:33
ACC000424,ACC000312,1,179000.0,179000.0,179000.0,0,0,0.0,2025-01-01 01:05:40,2025-01-01 01:05:40
ACC000114,ACC001147,1,7953.19,7953.19,7953.19,0,0,0.0,2025-01-01 01:20:37,2025-01-01 01:20:37
ACC000667,ACC000716,4,135343.35,33835.84,52674.03,0,0,28.378,2025-01-01 01:25:08,2025-01-29 10:29:13
ACC001148,ACC000034,1,5703000.0,5703000.0,5703000.0,0,0,0.0,2025-01-01 01:25:54,2025-01-01 01:25:54
ACC001185,ACC000791,11,53448.43,4858.95,11600.0,0,0,26.115,2025-01-01 01:26:32,2025-01-27 04:11:42
