episode_id,role,account_id,pattern,family,is_laundering
L000001,source,ACC000611,dormant_activation,laundering,1
L000001,transit,ACC001245,dormant_activation,laundering,1
L000001,destination,ACC000134,dormant_activation,laundering,1
L000002,source,ACC001228,rapid_pass_through,laundering,1
L000002,source,ACC000165,rapid_pass_through,laundering,1
L000002,source,ACC000165,rapid_pass_through,laundering,1
L000002,source,ACC000246,rapid_pass_through,laundering,1
L000002,source,ACC001197,rapid_pass_through,laundering,1
L000002,transit,ACC000795,rapid_pass_through,laundering,1
L000002,destination,ACC000063,rapid_pass_through,laundering,1
L000002,destination,ACC000156,rapid_pass_through,laundering,1
B000003,source,ACC001285,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000657,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000445,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000449,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000618,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001408,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001188,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000903,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000004,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000646,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000005,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001306,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000658,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000241,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001175,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001479,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000073,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000910,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001135,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001488,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001316,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000377,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001136,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000965,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001323,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000159,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000598,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000034,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001398,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001110,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001120,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000516,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001382,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000545,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000330,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000429,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001386,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001391,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000803,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000685,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001101,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000813,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001049,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001312,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001252,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000774,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000298,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000898,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000982,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000959,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000131,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000363,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001160,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000920,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000750,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001063,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000662,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001284,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001211,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000128,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000012,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000392,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000629,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000126,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000405,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000752,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000532,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001124,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001311,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC001492,payroll_fanout,benign_lookalike,0
B000003,beneficiary,ACC000414,payroll_fanout,benign_lookalike,0
L000004,source,ACC000165,rapid_pass_through,laundering,1
L000004,source,ACC000861,rapid_pass_through,laundering,1
L000004,source,ACC000075,rapid_pass_through,laundering,1
L000004,source,ACC001032,rapid_pass_through,laundering,1
L000004,source,ACC000671,rapid_pass_through,laundering,1
L000004,source,ACC001032,rapid_pass_through,laundering,1
L000004,transit,ACC000488,rapid_pass_through,laundering,1
L000004,destination,ACC000362,rapid_pass_through,laundering,1
L000004,destination,ACC000754,rapid_pass_through,laundering,1
L000005,source,ACC000165,fan_out,laundering,1
L000005,mule,ACC001250,fan_out,laundering,1
L000005,mule,ACC000160,fan_out,laundering,1
L000005,mule,ACC000702,fan_out,laundering,1
L000005,mule,ACC000048,fan_out,laundering,1
L000005,mule,ACC001006,fan_out,laundering,1
L000005,mule,ACC000450,fan_out,laundering,1
L000005,mule,ACC000351,fan_out,laundering,1
L000005,mule,ACC000853,fan_out,laundering,1
L000005,mule,ACC001044,fan_out,laundering,1
L000005,mule,ACC000749,fan_out,laundering,1
L000005,mule,ACC000066,fan_out,laundering,1
L000005,mule,ACC001490,fan_out,laundering,1
L000005,mule,ACC000519,fan_out,laundering,1
L000005,mule,ACC000376,fan_out,laundering,1
L000005,mule,ACC001067,fan_out,laundering,1
L000005,mule,ACC000215,fan_out,laundering,1
L000005,mule,ACC000663,fan_out,laundering,1
L000005,mule,ACC001399,fan_out,laundering,1
L000005,mule,ACC001165,fan_out,laundering,1
L000005,mule,ACC001434,fan_out,laundering,1
L000005,mule,ACC000000,fan_out,laundering,1
L000005,mule,ACC000756,fan_out,laundering,1
L000005,mule,ACC000887,fan_out,laundering,1
L000005,mule,ACC000354,fan_out,laundering,1
L000005,mule,ACC001462,fan_out,laundering,1
L000005,mule,ACC001394,fan_out,laundering,1
L000005,mule,ACC001245,fan_out,laundering,1
L000005,mule,ACC001408,fan_out,laundering,1
L000005,mule,ACC000228,fan_out,laundering,1
L000005,mule,ACC001069,fan_out,laundering,1
L000005,mule,ACC000482,fan_out,laundering,1
L000005,mule,ACC000498,fan_out,laundering,1
L000005,mule,ACC000359,fan_out,laundering,1
L000005,mule,ACC001463,fan_out,laundering,1
L000005,mule,ACC001372,fan_out,laundering,1
L000005,mule,ACC001327,fan_out,laundering,1
L000005,mule,ACC000511,fan_out,laundering,1
L000005,mule,ACC001405,fan_out,laundering,1
L000005,mule,ACC000774,fan_out,laundering,1
L000005,mule,ACC000071,fan_out,laundering,1
B000006,counterparty,ACC000102,marketplace_fanin,benign_lookalike,0
B000006,counterparty,ACC000375,marketplace_fanin,benign_lookalike,0
B000006,counterparty,ACC001149,marketplace_fanin,benign_lookalike,0
B000006,counterparty,ACC000057,marketplace_fanin,benign_lookalike,0
B000006,counterparty,ACC001440,marketplace_fanin,benign_lookalike,0
B000006,counterparty,ACC000883,marketplace_fanin,benign_lookalike,0
B000006,counterparty,ACC000580,marketplace_fanin,benign_lookalike,0
B000006,counterparty,ACC001109,marketplace_fanin,benign_lookalike,0
B000006,counterparty,ACC000748,marketplace_fanin,benign_lookalike,0
B000006,counterparty,ACC000501,marketplace_fanin,benign_lookalike,0
B000006,counterparty,ACC000124,marketplace_fanin,benign_lookalike,0
B000006,counterparty,ACC000011,marketplace_fanin,benign_lookalike,0
B000006,counterparty,ACC000657,marketplace_fanin,benign_lookalike,0
B000006,counterparty,ACC000522,marketplace_fanin,benign_lookalike,0
B000006,counterparty,ACC001092,marketplace_fanin,benign_lookalike,0
B000006,counterparty,ACC000957,marketplace_fanin,benign_lookalike,0
