transaction_id,timestamp,sender_account,receiver_account,amount,transaction_type,merchant_category,location,device_used,is_fraud,fraud_type,time_since_last_transaction,spending_deviation_score,velocity_score,geo_anomaly_score,payment_channel,ip_address,device_hash
T100049,2023-07-10T00:31:44.680642,ACC893188,ACC622707,215.32,payment,retail,Berlin,atm,False,,,2.37,10,0.44,ACH,248.62.14.122,D3657144
T100052,2023-06-13T14:45:18.587010,ACC461888,ACC448588,21.18,payment,other,Toronto,web,False,,,-0.66,14,0.04,ACH,242.195.197.77,D9310235
T100086,2023-12-20T01:37:35.550551,ACC975679,ACC303440,28.66,transfer,other,Singapore,atm,False,,,-1.04,6,0.82,UPI,70.128.26.246,D7227905
T100104,2023-11-22T04:36:45.653374,ACC403742,ACC773088,42.91,transfer,other,Berlin,pos,False,,,-1.46,6,0.44,wire_transfer,247.237.104.174,D3410360
T100106,2023-02-05T17:04:12.275150,ACC502810,ACC745270,86.85,payment,utilities,Tokyo,atm,False,,,0.22,17,0.47,wire_transfer,157.254.11.46,D7597509
T100144,2023-04-09T11:43:48.433887,ACC617077,ACC253023,1607.46,deposit,entertainment,Dubai,atm,False,,,-0.54,12,0.25,UPI,126.253.100.234,D2794698
T100149,2023-01-05T04:23:54.562535,ACC332785,ACC635482,260.07,withdrawal,other,Toronto,pos,False,,,-1.45,19,0.69,UPI,77.176.12.247,D2754047
T100246,2023-02-07T07:23:40.926238,ACC173199,ACC302897,35.64,transfer,other,Singapore,atm,False,,,-0.2,19,0.36,wire_transfer,161.219.86.2,D6254872
T100312,2023-03-07T05:12:18.172712,ACC747033,ACC613742,19.6,transfer,other,Berlin,pos,False,,,0.22,13,0.72,UPI,201.19.55.231,D8665517
T100358,2023-08-28T06:33:51.028506,ACC748410,ACC148026,150.32,withdrawal,entertainment,New York,web,False,,,1.53,4,0.46,card,87.32.54.58,D9340683
T100394,2023-09-13T00:38:39.348057,ACC561023,ACC806242,582.22,deposit,entertainment,Toronto,pos,False,,,0.16,4,0.76,UPI,160.63.238.56,D9719581
T100472,2023-03-14T06:38:27.322263,ACC425903,ACC165896,348.05,deposit,retail,Singapore,pos,False,,,-1.17,11,0.84,card,126.55.242.122,D6717708
T100479,2023-03-30T04:48:24.441494,ACC905671,ACC954225,17.16,transfer,online,Berlin,pos,False,,,0.94,1,0.36,ACH,37.183.15.58,D3389108
T100524,2023-02-12T07:26:38.744764,ACC216793,ACC193469,35.74,transfer,utilities,London,atm,False,,,1.5,19,0.74,ACH,159.31.97.198,D8108481
