account_idx,account_id,archetype,is_business,business_hours,city,country,kyc_level,open_ts,account_age_days,dormant,baseline_out_per_day,baseline_amount_median,baseline_amount_sigma,night_ratio,monthly_income,popularity,employer_idx,salary_amount,salary_day,is_laundering,laundering_role,laundering_patterns,n_laundering_episodes,in_benign_lookalike
0,ACC000000,freelancer,False,False,Bengaluru,IN,min,1473465600,3035,False,0.2678,1703.49,1.083,0.1709,135928.24,2.2457,-1,0.0,0,1,mule,fan_in|fan_out|mule_network,3,1
1,ACC000001,salary,False,False,Bengaluru,IN,full,1428796800,3552,False,0.519,2479.71,0.966,0.0227,240467.58,2.2949,714,230314.99,6,0,,,0,1
2,ACC000002,small_business,True,True,Kochi,IN,full,1568851200,1931,False,0.4406,11137.79,1.289,0.0754,3765186.68,4.8496,-1,0.0,0,0,,,0,0
3,ACC000003,salary,False,False,Ahmedabad,IN,full,1625875200,1271,False,0.2859,2695.58,1.109,0.0779,64511.0,0.9619,905,52229.85,5,0,,,0,1
4,ACC000004,salary,False,False,Pune,IN,full,1637020800,1142,False,0.5882,1800.51,1.02,0.0365,172436.54,1.9025,338,154913.73,4,0,,,0,1
5,ACC000005,salary,False,False,Chennai,IN,full,1690329600,525,False,0.1653,1676.98,1.19,0.0617,226707.42,0.7813,1476,180722.71,6,0,,,0,1
6,ACC000006,salary,False,False,Delhi,IN,full,1593388800,1647,False,0.2699,2391.41,0.872,0.055,158582.31,1.2107,187,123163.93,2,0,,,0,1
7,ACC000007,salary,False,False,Bengaluru,IN,full,1485734400,2893,False,0.4122,2480.18,1.124,0.0332,81699.77,0.8267,1388,70557.15,3,0,,,0,1
8,ACC000008,merchant,True,True,Ahmedabad,IN,full,1536969600,2300,False,4.9769,569.34,0.988,0.1277,7447155.74,42.9886,-1,0.0,0,0,,,0,1
9,ACC000009,household,False,False,Hyderabad,IN,full,1660089600,875,False,0.2489,2502.27,1.151,0.0895,75586.46,0.4491,-1,0.0,0,0,,,0,1
10,ACC000010,salary,False,False,Hyderabad,IN,full,1522368000,2469,False,0.2155,2672.53,0.991,0.0985,224559.45,1.2404,116,178006.16,7,0,,,0,0
11,ACC000011,household,False,False,Bengaluru,IN,full,1705708800,347,False,0.696,1542.1,1.168,0.0293,172586.98,0.8597,-1,0.0,0,0,,,0,1
12,ACC000012,freelancer,False,False,Delhi,IN,full,1485561600,2895,False,0.3877,4961.85,1.065,0.1406,167675.74,2.5963,-1,0.0,0,0,,,0,1
13,ACC000013,freelancer,False,False,Mumbai,IN,full,1636588800,1147,False,0.2753,5669.9,1.396,0.0983,126730.04,3.1788,-1,0.0,0,0,,,0,1
14,ACC000014,small_business,True,True,Kochi,IN,min,1530662400,2373,False,2.018,23838.67,1.331,0.0585,1053894.2,12.7775,-1,0.0,0,0,,,0,0
15,ACC000015,salary,False,False,Mumbai,IN,full,1522195200,2471,False,0.8825,1982.8,1.124,0.0421,63226.17,0.8071,1171,60765.04,5,1,mule,fan_in|fan_out|mule_network|smurfing,4,1
16,ACC000016,merchant,True,True,Pune,IN,full,1637625600,1135,False,7.4718,3748.33,0.721,0.0572,375504.64,30.2853,-1,0.0,0,0,,,0,0
17,ACC000017,small_business,True,True,Ahmedabad,IN,min,1445904000,3354,False,1.0856,6563.14,1.354,0.0228,2127126.45,8.6906,-1,0.0,0,0,,,0,0
18,ACC000018,student,False,False,Bengaluru,IN,full,1430870400,3528,False,0.2595,606.86,1.079,0.2025,24931.47,0.5122,-1,0.0,0,0,,,0,1
19,ACC000019,student,False,False,Mumbai,IN,min,1508630400,2628,True,0.0031,843.85,0.984,0.1537,23910.04,1.9134,-1,0.0,0,0,,,0,1
20,ACC000020,small_business,True,True,Chennai,IN,full,1444780800,3367,False,2.1442,12560.92,0.965,0.0733,3518145.55,5.7216,-1,0.0,0,0,,,0,0
21,ACC000021,small_business,True,True,Kochi,IN,min,1640044800,1107,False,0.8288,24961.99,1.09,0.0209,3206106.0,3.524,-1,0.0,0,0,,,0,0
22,ACC000022,investment,True,True,Delhi,IN,full,1544227200,2216,False,0.2703,2216283.41,1.122,0.025,39357576.28,14.6794,-1,0.0,0,0,,,0,0
23,ACC000023,household,False,False,Delhi,IN,min,1471305600,3060,False,0.8218,3330.99,0.967,0.0431,196623.1,0.965,-1,0.0,0,0,,,0,1
24,ACC000024,household,False,False,Bengaluru,IN,full,1613347200,1416,False,0.342,467.69,0.825,0.0661,125896.69,2.2846,-1,0.0,0,0,,,0,0
25,ACC000025,small_business,True,True,Hyderabad,IN,full,1397347200,3916,True,0.0307,1676.63,1.015,0.0392,2906922.57,7.6544,-1,0.0,0,0,,,0,1
26,ACC000026,household,False,False,Hyderabad,IN,full,1427846400,3563,False,0.483,3158.95,1.134,0.0466,88450.06,2.5477,-1,0.0,0,0,,,0,0
27,ACC000027,merchant,True,True,Pune,IN,min,1561248000,2019,False,4.3602,3350.64,0.796,0.0301,1550898.6,26.1469,-1,0.0,0,0,,,0,0
28,ACC000028,student,False,False,Kolkata,IN,full,1624924800,1282,False,0.4562,661.47,0.844,0.1912,20051.93,0.7015,-1,0.0,0,0,,,0,0
29,ACC000029,student,False,False,Hyderabad,IN,full,1537142400,2298,False,0.3431,243.64,1.024,0.1604,23809.95,0.2956,-1,0.0,0,0,,,0,0
30,ACC000030,student,False,False,Chennai,IN,full,1631404800,1207,False,0.0656,374.25,1.019,0.0736,22920.0,0.6715,-1,0.0,0,0,,,0,1
31,ACC000031,freelancer,False,False,Pune,IN,full,1658361600,895,False,0.0917,5791.0,1.166,0.0707,184897.55,1.2378,-1,0.0,0,1,destination,rapid_pass_through,1,1
32,ACC000032,salary,False,False,Kolkata,IN,min,1562284800,2007,False,0.2221,2212.34,1.116,0.0596,201987.79,0.4049,47,200435.93,6,0,,,0,1
33,ACC000033,merchant,True,True,Kochi,IN,full,1657238400,908,False,2.3717,433.16,0.964,0.0921,2393576.18,92.3492,-1,0.0,0,0,,,0,0
34,ACC000034,freelancer,False,False,Jaipur,IN,full,1484092800,2912,False,0.2455,4691.17,1.252,0.1326,370428.32,1.6561,-1,0.0,0,0,,,0,1
35,ACC000035,investment,True,True,Bengaluru,IN,min,1563321600,1995,True,0.0054,348497.71,1.46,0.0128,28856792.33,18.8599,-1,0.0,0,0,,,0,0
36,ACC000036,merchant,True,True,Bengaluru,IN,full,1435708800,3472,False,3.7494,704.23,0.807,0.1193,2995387.29,35.4352,-1,0.0,0,0,,,0,0
37,ACC000037,household,False,False,Hyderabad,IN,full,1453766400,3263,False,0.5537,2331.16,0.888,0.02,51181.23,2.7465,-1,0.0,0,0,,,0,1
38,ACC000038,small_business,True,True,Kochi,SG,min,1708992000,309,False,1.1505,9447.62,0.994,0.0699,3206895.54,10.8122,-1,0.0,0,0,,,0,1
39,ACC000039,merchant,True,True,Mumbai,IN,full,1469318400,3083,False,3.6415,1431.58,0.951,0.1312,4872815.83,50.3741,-1,0.0,0,0,,,0,0
40,ACC000040,household,False,False,Jaipur,IN,full,1562112000,2009,False,0.1613,2903.96,0.907,0.0652,172432.02,0.7865,-1,0.0,0,0,,,0,0
41,ACC000041,merchant,True,True,Kochi,IN,full,1730332800,62,False,3.3187,2490.29,0.729,0.051,5295830.46,25.3938,-1,0.0,0,0,,,0,0
42,ACC000042,merchant,True,True,Bengaluru,IN,full,1445990400,3353,False,2.3235,1740.74,1.001,0.063,7622902.92,97.8281,-1,0.0,0,0,,,0,0
43,ACC000043,salary,False,False,Delhi,IN,full,1668902400,773,False,0.3751,797.14,0.86,0.0217,198034.52,0.892,494,196625.18,6,0,,,0,0
44,ACC000044,large_business,True,True,Bengaluru,IN,full,1664582400,823,False,3.8075,291929.3,1.649,0.0527,175522130.64,6.058,-1,0.0,0,1,source,dormant_activation|rapid_pass_through,3,1
45,ACC000045,salary,False,False,Kochi,IN,full,1477180800,2992,False,0.4579,1131.26,1.056,0.0433,207766.3,1.26,75,160314.62,6,0,,,0,1
46,ACC000046,small_business,True,True,Bengaluru,IN,full,1531785600,2360,False,1.1604,3364.72,1.243,0.0283,2441843.16,12.9797,-1,0.0,0,0,,,0,1
47,ACC000047,small_business,True,True,Kochi,IN,min,1558742400,2048,False,1.1402,13397.64,1.229,0.0426,3486819.77,7.6426,-1,0.0,0,0,,,0,0
48,ACC000048,household,False,False,Jaipur,IN,min,1730505600,60,False,0.4787,3955.76,0.866,0.0768,64920.46,1.6996,-1,0.0,0,1,mule,fan_out,4,1
49,ACC000049,salary,False,False,Jaipur,IN,full,1529971200,2381,False,0.6615,2527.22,0.876,0.0967,212533.54,0.5412,681,210281.36,2,0,,,0,1
50,ACC000050,merchant,True,True,Mumbai,IN,full,1600732800,1562,False,2.9473,3184.15,1.075,0.0319,7211434.41,21.0932,-1,0.0,0,0,,,0,0
51,ACC000051,salary,False,False,Ahmedabad,IN,full,1610064000,1454,False,0.9528,2803.63,0.871,0.0741,136834.88,0.46,76,129810.3,5,0,,,0,1
52,ACC000052,student,False,False,Mumbai,IN,min,1390953600,3990,False,0.1696,402.55,0.889,0.0683,19792.31,0.5213,-1,0.0,0,0,,,0,1
53,ACC000053,small_business,True,True,Kolkata,IN,full,1729468800,72,False,1.0133,7133.33,1.419,0.0664,3053542.75,3.1364,-1,0.0,0,0,,,0,0
54,ACC000054,freelancer,False,False,Mumbai,IN,full,1538179200,2286,False,0.4028,3888.54,1.502,0.0553,44177.49,1.2654,-1,0.0,0,0,,,0,1
55,ACC000055,salary,False,False,Kolkata,IN,full,1665964800,807,False,0.3865,1683.76,1.057,0.059,169837.88,0.524,44,145002.58,7,0,,,0,1
56,ACC000056,salary,False,False,Ahmedabad,IN,full,1602806400,1538,False,0.3895,3043.25,1.064,0.0511,41330.32,0.7057,78,34686.9,2,0,,,0,0
57,ACC000057,student,False,False,Kochi,IN,full,1646697600,1030,False,0.0713,435.68,0.822,0.0783,8114.56,2.027,-1,0.0,0,0,,,0,1
58,ACC000058,student,False,False,Hyderabad,IN,min,1408147200,3791,False,0.2056,593.07,1.005,0.1687,15544.5,0.2804,-1,0.0,0,0,,,0,1
59,ACC000059,student,False,False,Kochi,IN,full,1608940800,1467,False,0.0585,373.87,0.77,0.1906,8446.98,1.05,-1,0.0,0,0,,,0,1
60,ACC000060,salary,False,False,Chennai,GB,full,1636070400,1153,False,0.2535,911.42,1.095,0.0769,171944.53,1.261,293,130954.61,2,0,,,0,1
61,ACC000061,salary,False,False,Pune,IN,full,1620950400,1328,False,0.1705,3259.44,1.164,0.0406,151838.25,0.647,999,115690.61,4,0,,,0,1
62,ACC000062,small_business,True,True,Mumbai,IN,full,1688688000,544,False,2.9529,18662.86,1.131,0.0792,3364089.11,13.3298,-1,0.0,0,0,,,0,0
63,ACC000063,small_business,True,True,Kolkata,IN,min,1460419200,3186,True,0.0088,1576.44,1.066,0.036,2232070.4,4.6635,-1,0.0,0,1,destination,layering_chain|rapid_pass_through,2,0
64,ACC000064,small_business,True,True,Delhi,IN,full,1489968000,2844,False,0.9605,16104.37,1.023,0.0695,3699402.52,8.8724,-1,0.0,0,0,,,0,0
65,ACC000065,student,False,False,Ahmedabad,IN,full,1615334400,1393,False,0.1722,172.54,0.837,0.1511,15965.63,0.3631,-1,0.0,0,0,,,0,0
66,ACC000066,salary,False,False,Mumbai,IN,full,1618704000,1354,False,0.7601,3116.64,1.173,0.0971,182808.84,0.7198,399,150278.04,4,1,mule,fan_out,2,1
67,ACC000067,large_business,True,True,Bengaluru,IN,full,1618876800,1352,False,4.2183,311675.95,1.358,0.0548,124257427.33,13.3629,-1,0.0,0,1,source,rapid_pass_through,1,0
68,ACC000068,small_business,True,True,Ahmedabad,IN,full,1715212800,237,False,0.6018,14873.74,1.13,0.0667,348758.18,2.5672,-1,0.0,0,0,,,0,0
69,ACC000069,household,False,False,Kochi,IN,full,1709596800,302,False,0.1353,3861.21,1.154,0.0589,156290.86,0.6671,-1,0.0,0,0,,,0,0
70,ACC000070,student,False,False,Mumbai,IN,full,1578268800,1822,False,0.1182,803.29,0.935,0.2142,12016.44,1.0593,-1,0.0,0,0,,,0,0
71,ACC000071,salary,False,False,Kochi,IN,full,1666828800,797,False,0.473,1125.27,1.137,0.0305,187626.17,0.675,137,159057.79,5,1,intermediary|mule,fan_in|fan_out|layering_chain,5,1
72,ACC000072,salary,False,False,Kolkata,IN,min,1576454400,1843,False,0.8286,2941.98,0.904,0.0728,118002.94,0.552,873,103829.73,3,0,,,0,1
73,ACC000073,salary,False,False,Delhi,IN,full,1580774400,1793,False,0.4281,1358.23,0.92,0.0744,202990.64,0.5916,1078,152422.4,6,1,mule,fan_in|fan_out|smurfing,5,1
74,ACC000074,salary,False,False,Ahmedabad,IN,min,1435881600,3470,True,0.0303,2827.71,0.959,0.0938,90201.88,2.3227,362,69755.61,7,0,,,0,1
75,ACC000075,large_business,True,True,Pune,IN,full,1551312000,2134,False,8.4889,249528.23,1.1,0.0568,216225164.54,7.2162,-1,0.0,0,1,source,layering_chain|rapid_pass_through,2,0
76,ACC000076,large_business,True,True,Mumbai,IN,full,1667001600,795,False,7.2401,25673.95,1.508,0.0524,30085544.2,22.5393,-1,0.0,0,0,,,0,0
77,ACC000077,salary,False,False,Bengaluru,IN,min,1539302400,2273,False,0.3169,2337.05,0.913,0.0337,202000.57,0.8416,766,171316.5,3,0,,,0,1
78,ACC000078,large_business,True,True,Bengaluru,IN,full,1583971200,1756,False,11.0707,89974.48,1.424,0.0269,64782445.88,28.0775,-1,0.0,0,1,source,rapid_pass_through,1,1
79,ACC000079,salary,False,False,Delhi,IN,full,1639958400,1108,False,0.5508,2142.95,1.216,0.0986,190602.07,0.5727,695,145585.92,3,0,,,0,1
80,ACC000080,small_business,True,True,Bengaluru,IN,full,1616198400,1383,False,1.242,6498.2,1.046,0.0445,2120458.24,4.3755,-1,0.0,0,0,,,0,0
81,ACC000081,salary,False,False,Kolkata,IN,full,1630540800,1217,False,0.1478,1222.44,0.88,0.0707,79313.82,1.3927,1300,79281.1,2,0,,,0,1
82,ACC000082,large_business,True,True,Hyderabad,IN,full,1405728000,3819,False,10.9245,273064.56,1.666,0.0524,170808541.09,21.8722,-1,0.0,0,1,source,mule_network,1,0
83,ACC000083,small_business,True,True,Ahmedabad,IN,min,1442534400,3393,False,1.6738,2296.18,1.155,0.0561,1334885.02,2.9638,-1,0.0,0,0,,,0,1
84,ACC000084,small_business,True,True,Jaipur,IN,full,1699056000,424,False,2.5296,13250.78,1.248,0.0795,2768584.82,8.6718,-1,0.0,0,0,,,0,0
85,ACC000085,small_business,True,True,Pune,IN,full,1393027200,3966,False,3.2297,14769.15,1.349,0.0494,2832292.4,4.6075,-1,0.0,0,0,,,0,1
86,ACC000086,salary,False,False,Mumbai,IN,min,1659052800,887,False,0.3475,2602.48,0.997,0.0274,249712.65,2.5489,1448,198862.49,7,0,,,0,1
87,ACC000087,salary,False,False,Jaipur,IN,full,1714867200,241,False,0.4107,969.26,1.229,0.0317,92935.97,0.6318,557,75839.43,6,0,,,0,1
88,ACC000088,household,False,False,Kochi,IN,min,1401494400,3868,False,0.2454,1402.49,0.829,0.0446,65869.41,3.4108,-1,0.0,0,0,,,0,0
89,ACC000089,small_business,True,True,Chennai,IN,full,1414713600,3715,False,1.128,12724.78,1.239,0.0455,970693.89,3.8565,-1,0.0,0,0,,,0,0
90,ACC000090,large_business,True,True,Mumbai,IN,full,1699488000,419,False,12.5425,79350.77,1.286,0.0264,98791721.09,75.2192,-1,0.0,0,0,,,0,0
91,ACC000091,salary,False,False,Mumbai,IN,full,1695427200,466,False,0.8282,1445.23,1.194,0.0259,187498.24,1.7851,849,158239.36,1,0,,,0,0
92,ACC000092,salary,False,False,Hyderabad,IN,full,1477008000,2994,False,0.4816,3038.88,1.185,0.0252,182040.52,1.3372,873,155643.91,4,0,,,0,1
93,ACC000093,salary,False,False,Pune,IN,min,1508889600,2625,False,0.3169,1602.76,0.868,0.049,55859.18,1.3595,1148,55208.75,2,0,,,0,1
94,ACC000094,freelancer,False,False,Kochi,IN,full,1655856000,924,True,0.0154,2838.05,1.522,0.105,201733.78,2.3495,-1,0.0,0,1,mule,fan_out|mule_network,3,1
95,ACC000095,salary,False,False,Hyderabad,IN,full,1660867200,866,False,0.1144,2946.79,1.168,0.085,60306.49,1.4338,779,51427.09,5,1,intermediary|mule,fan_in|fan_out|layering_chain,4,0
96,ACC000096,small_business,True,True,Delhi,IN,min,1631145600,1210,False,2.5366,10833.78,0.964,0.0662,3869223.16,2.2753,-1,0.0,0,0,,,0,0
97,ACC000097,student,False,False,Chennai,IN,full,1502582400,2698,False,0.1318,880.31,0.803,0.167,12829.23,0.4882,-1,0.0,0,0,,,0,0
98,ACC000098,salary,False,False,Ahmedabad,IN,full,1610409600,1450,False,0.2471,830.55,0.861,0.0704,133878.99,3.2941,1153,107538.22,6,0,,,0,1
99,ACC000099,student,False,False,Jaipur,IN,min,1543968000,2219,False,0.5368,729.05,0.805,0.1795,7798.25,0.9727,-1,0.0,0,0,,,0,1
100,ACC000100,student,False,False,Jaipur,IN,full,1660694400,868,False,0.3741,320.53,0.849,0.0888,12990.33,1.1912,-1,0.0,0,0,,,0,1
