episode_id,pattern,family,is_laundering,duration_hours,total_amount,n_transactions,n_accounts,difficulty,start_time,end_time
L000001,dormant_activation,laundering,1,129.526,350425.18,8,3,0.5,2025-01-11 16:14:15,2025-01-17 01:45:48
L000002,rapid_pass_through,laundering,1,221.833,7127920.26,15,7,0.5,2025-01-02 22:15:15,2025-01-12 04:05:14
B000003,payroll_fanout,benign_lookalike,0,32.937,5304615.87,70,71,0.5,2025-01-17 10:00:19,2025-01-18 18:56:31
L000004,rapid_pass_through,laundering,1,138.646,7869885.0,18,8,0.5,2025-01-05 03:51:41,2025-01-10 22:30:25
L000005,fan_out,laundering,1,123.564,1598480.31,40,41,0.5,2025-01-10 11:22:39,2025-01-15 14:56:29
B000006,marketplace_fanin,benign_lookalike,0,38.732,370069.54,101,102,0.5,2025-01-02 08:06:09,2025-01-03 22:50:03
L000007,fan_in,laundering,1,149.691,720521.66,36,36,0.5,2025-01-04 07:34:18,2025-01-10 13:15:44
B000008,installment_split,benign_lookalike,0,719.788,536891.8,7,2,0.5,2025-01-01 00:12:44,2025-01-30 23:59:59
B000009,marketplace_fanin,benign_lookalike,0,33.188,229320.99,66,67,0.5,2025-01-25 07:14:18,2025-01-26 16:25:34
B000010,supplier_passthrough,benign_lookalike,0,2.772,55818.78,5,6,0.5,2025-01-01 16:41:44,2025-01-01 19:28:04
B000011,supplier_passthrough,benign_lookalike,0,6.672,41864.94,3,4,0.5,2025-01-09 10:01:16,2025-01-09 16:41:36
B000012,supplier_passthrough,benign_lookalike,0,11.27,63440.23,5,6,0.5,2025-01-18 09:58:20,2025-01-18 21:14:32
L000013,layering_chain,laundering,1,77.496,15803398.28,8,7,0.5,2025-01-01 05:09:45,2025-01-04 10:39:31
B000014,marketplace_fanin,benign_lookalike,0,39.419,154465.33,123,124,0.5,2025-01-24 07:24:42,2025-01-25 22:49:52
L000015,layering_chain,laundering,1,140.653,4955317.39,8,6,0.5,2025-01-10 18:19:23,2025-01-16 14:58:32
B000016,installment_split,benign_lookalike,0,710.685,2013502.13,12,2,0.5,2025-01-01 09:18:52,2025-01-30 23:59:59
B000017,marketplace_fanin,benign_lookalike,0,36.798,379395.51,122,123,0.5,2025-01-15 10:11:16,2025-01-16 22:59:10
B000018,installment_split,benign_lookalike,0,719.179,1167724.39,9,2,0.5,2025-01-01 00:49:16,2025-01-30 23:59:59
L000019,rapid_pass_through,laundering,1,56.689,3378118.87,12,7,0.5,2025-01-07 22:06:43,2025-01-10 06:48:04
L000020,dormant_activation,laundering,1,58.931,220530.86,8,3,0.5,2025-01-18 19:20:53,2025-01-21 06:16:46
