feature,importance,std
amt_out_std,0.41223,0.05474
passthrough_ratio,0.05334,0.01361
amt_in_median,0.03265,0.02279
archetype_small_business,0.03082,0.00899
amt_cv_out,0.0301,0.0106
active_span_days,0.02837,0.00955
g_pagerank,0.02727,0.00536
one_shot_counterparty_ratio,0.0164,0.00826
g_clustering,0.01505,0.00859
round_amount_ratio,0.00636,0.00344
n_txns,0.00632,0.00478
volume_growth_ratio,0.00588,0.0029
amt_out_median,0.0057,0.00764
outflow_within_24h_ratio,0.00557,0.00294
net_flow,0.00552,0.00617
inflow_outflow_ratio,0.00545,0.00608
g_reciprocity,0.005,0.00268
burstiness,0.00456,0.00472
counterparty_per_txn,0.00368,0.00459
g_two_hop_in,0.00357,0.00091
amt_out_total,0.00284,0.00153
degree_ratio,0.00281,0.00633
amt_in_mean,0.00268,0.00177
counterparty_growth_ratio,0.00262,0.00535
weekend_ratio,0.00254,0.00208
amt_total,0.00231,0.0018
account_age_days,0.00225,0.00227
amt_in_std,0.00221,0.00057
count_growth_ratio,0.00216,0.00171
amt_out_max,0.00205,0.00079
above_threshold_ratio,0.00201,0.00049
unique_senders,0.00199,0.00057
amt_in_max,0.00198,0.00204
kyc_level_min,0.00189,0.00143
mean_inter_txn_seconds,0.00175,0.00071
amt_in_total,0.00165,0.00121
min_inter_txn_seconds,0.00148,0.00192
g_core_number,0.00144,0.00052
n_out,0.0013,0.00077
dormancy_wakeup_score,0.00122,0.00326
n_in,0.00112,0.00189
median_holding_seconds,0.00102,0.00201
g_two_hop_out,0.00085,0.00114
city_Mumbai,0.00056,7e-05
max_amount_1h,0.0005,0.00214
g_reciprocal_edges,0.00044,5e-05
unique_receivers,0.00023,0.0008
archetype_salary,0.00018,0.00229
city_Pune,0.00012,4e-05
max_txns_1h,9e-05,0.00023
country_GB,0.0,0.0
archetype_student,0.0,0.0
retention_ratio,0.0,0.0
city_Chennai,0.0,0.0
g_in_degree,0.0,0.0
txns_per_active_day,0.0,0.0
g_scc_size,0.0,0.0
city_Hyderabad,0.0,0.0
city_Bengaluru,0.0,0.0
country_US,0.0,0.0
country_HK,0.0,0.0
country_SG,0.0,0.0
country_IN,0.0,0.0
country_MU,0.0,0.0
g_in_cycle,0.0,0.0
g_degree_ratio,0.0,0.0
g_out_degree,0.0,0.0
archetype_merchant,0.0,0.0
archetype_investment,0.0,0.0
country_CY,0.0,0.0
archetype_household,0.0,0.0
archetype_large_business,0.0,0.0
g_is_hub,0.0,0.0
city_Kochi,0.0,0.0
country_MY,0.0,0.0
city_Delhi,0.0,0.0
city_Jaipur,-6e-05,3e-05
city_Kolkata,-8e-05,0.00017
near_threshold_ratio,-9e-05,0.0011
outflow_within_1h_ratio,-0.00011,0.00032
g_degree,-0.00022,0.00021
counterparty_hhi,-0.00052,0.00561
max_amount_24h,-0.00076,0.00064
min_holding_seconds,-0.00144,0.00154
max_txns_24h,-0.00162,0.00074
in_out_txn_ratio,-0.00432,0.00529
amt_out_mean,-0.00433,0.00504
g_relay_score,-0.00665,0.00446
g_fan_out_ratio,-0.00828,0.0107
