txn_id,timestamp,sender,receiver,amount,channel,sender_country,receiver_country,cross_border,episode_id,pattern,is_laundering
T000000000,2025-01-01 00:00:50,ACC000951,ACC001254,351.05,UPI,IN,IN,0,,normal,0
T000000001,2025-01-01 00:11:51,ACC000714,ACC000042,99960.99,NEFT,IN,IN,0,,normal,0
T000000002,2025-01-01 00:12:44,ACC000317,ACC001328,77000.0,IMPS,IN,IN,0,B000008,installment_split,0
T000000003,2025-01-01 00:14:51,ACC001171,ACC001276,13000.0,UPI,IN,IN,0,,normal,0
T000000004,2025-01-01 00:17:34,ACC000913,ACC000637,23400.0,UPI,IN,IN,0,,normal,0
T000000005,2025-01-01 00:21:13,ACC000611,ACC000686,141508.43,NEFT,IN,IN,0,,normal,0
T000000006,2025-01-01 00:23:29,ACC000025,ACC000648,183000.0,NEFT,IN,IN,0,B000089,installment_split,0
T000000007,2025-01-01 00:28:14,ACC001188,ACC000293,103567.03,RTGS,IN,IN,0,B000040,installment_split,0
T000000008,2025-01-01 00:33:20,ACC000686,ACC001155,4187.11,IMPS,IN,IN,0,,normal,0
T000000009,2025-01-01 00:34:15,ACC000707,ACC001009,5540.25,CARD,IN,IN,0,,normal,0
T000000010,2025-01-01 00:35:14,ACC000775,ACC000156,682.14,CARD,IN,IN,0,,normal,0
T000000011,2025-01-01 00:47:03,ACC000472,ACC000268,203482.75,IMPS,IN,IN,0,B000075,installment_split,0
T000000012,2025-01-01 00:49:16,ACC000524,ACC000789,129664.81,IMPS,IN,IN,0,B000018,installment_split,0
T000000013,2025-01-01 00:54:37,ACC001035,ACC001155,3994.01,NEFT,IN,IN,0,,normal,0
T000000014,2025-01-01 01:00:03,ACC000082,ACC000796,304000.0,RTGS,IN,IN,0,,normal,0
T000000015,2025-01-01 01:05:40,ACC000424,ACC000312,179000.0,RTGS,IN,IN,0,,normal,0
T000000016,2025-01-01 01:20:37,ACC000114,ACC001147,7953.19,UPI,IN,IN,0,,normal,0
T000000017,2025-01-01 01:25:08,ACC000667,ACC000716,37400.0,IMPS,IN,IN,0,,normal,0
T000000018,2025-01-01 01:25:54,ACC001148,ACC000034,5703000.0,RTGS,IN,IN,0,,normal,0
T000000019,2025-01-01 01:26:32,ACC001185,ACC000791,3558.72,SWIFT,IN,CY,1,,normal,0
T000000020,2025-01-01 01:27:03,ACC000673,ACC000963,232000.0,SWIFT,CY,IN,1,,normal,0
T000000021,2025-01-01 01:30:10,ACC001092,ACC001362,364.74,CARD,IN,IN,0,,normal,0
T000000022,2025-01-01 01:31:21,ACC001354,ACC001262,1929000.0,NEFT,IN,IN,0,,normal,0
T000000023,2025-01-01 01:35:38,ACC000051,ACC001407,15165.51,NEFT,IN,IN,0,,normal,0
T000000024,2025-01-01 01:37:06,ACC001375,ACC000793,195.38,UPI,IN,IN,0,,normal,0
T000000025,2025-01-01 01:42:24,ACC000268,ACC000185,4230.0,NEFT,IN,IN,0,,normal,0
T000000026,2025-01-01 01:56:28,ACC001206,ACC000407,2470.0,NEFT,IN,IN,0,,normal,0
T000000027,2025-01-01 02:00:15,ACC000180,ACC000686,9196.1,IMPS,IN,IN,0,,normal,0
T000000028,2025-01-01 02:07:19,ACC000171,ACC000512,21918.93,CARD,IN,IN,0,,normal,0
T000000029,2025-01-01 02:12:13,ACC000250,ACC001231,6977.81,NEFT,IN,IN,0,,normal,0
T000000030,2025-01-01 02:17:42,ACC001298,ACC000925,5600.0,UPI,IN,IN,0,,normal,0
T000000031,2025-01-01 02:19:34,ACC000738,ACC000607,13900.0,IMPS,IN,IN,0,,normal,0
T000000032,2025-01-01 02:23:03,ACC000712,ACC000236,7267.9,UPI,IN,IN,0,,normal,0
T000000033,2025-01-01 02:24:55,ACC000847,ACC000712,36903.31,NEFT,IN,IN,0,,normal,0
T000000034,2025-01-01 02:25:03,ACC001486,ACC001286,4313.88,NEFT,IN,IN,0,,normal,0
T000000035,2025-01-01 02:30:32,ACC000539,ACC000758,560.0,UPI,IN,IN,0,,normal,0
T000000036,2025-01-01 02:46:32,ACC000597,ACC001417,10700.0,UPI,IN,IN,0,,normal,0
T000000037,2025-01-01 02:51:53,ACC001112,ACC001257,7980.7,IMPS,IN,IN,0,,normal,0
T000000038,2025-01-01 02:57:44,ACC000264,ACC000637,17364.26,IMPS,IN,IN,0,,normal,0
T000000039,2025-01-01 02:58:28,ACC001369,ACC000384,100.0,UPI,IN,IN,0,,normal,0
T000000040,2025-01-01 03:08:39,ACC000284,ACC001254,2950.0,UPI,IN,IN,0,,normal,0
T000000041,2025-01-01 03:10:39,ACC000548,ACC000284,1580.0,CARD,IN,IN,0,,normal,0
